"Category","Subcategory","Text","Severity","WAF","GUID"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Entra ID Tenants","Use one Entra tenant for managing your Azure resources, unless you have a clear regulatory or business requirement for m","Medium","Operations","70c15989-c726-42c7-b0d3-24b7375b9201"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Entra ID Tenants","Use Multi-Tenant Automation approach to managing your Microsoft Entra ID Tenants.","Low","Operations","6309957b-821a-43d1-b9d9-7fcf1802b747"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Entra ID Tenants","Use Azure Lighthouse for Multi-Tenant Management with the same IDs.","High","Operations","78e11934-499a-45ed-8ef7-aae5578f0ecf"
"Azure Billing and Microsoft Entra ID Tenants","Cloud Solution Provider","If you give a partner access to administer your tenant, use Azure Lighthouse.","High","Cost","5d82e6df-6f61-42f2-82e2-3132d293be3d"
"Azure Billing and Microsoft Entra ID Tenants","Cloud Solution Provider","If you have a CSP partner, define and document your support request and escalation process.","Low","Cost","a24d0de3-d4b9-4dfb-8ddd-bbfaf123fa01"
"Azure Billing and Microsoft Entra ID Tenants","Cloud Solution Provider","Setup Cost Reporting and Views with Azure Cost Management.","Medium","Cost","32952499-58c8-4e6f-ada5-972e67893d55"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Set up a Notification Contact email address to ensure notifications are sent to an appropriate group mailbox.","Medium","Cost","685cb4f2-ac9c-4b19-9167-993ed0b32415"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Use departments and accounts to map your organization's structure to your enrollment hierarchy which can help with separ","Low","Cost","12cd499f-96e2-4e41-a243-231fb3245a1c"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Assign a budget for each department and account, and establish an alert associated with the budget.","Low","Cost","54f0d8b1-22a3-4c0d-8ce2-58b9e086c93a"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Enable both DA View Charges and AO View Charges on your EA Enrollments to allow users with the correct permissions to re","Medium","Security","ca0fe401-12ad-46fc-8a7e-86293866a9f6"
"Azure Billing and Microsoft Entra ID Tenants","Enterprise Agreement","Use of Enterprise Dev/Test Subscriptions to reduce costs for non-production workloads.","Low","Cost","5cf9f485-2784-49b3-9824-75d9b8bdb57b"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Configure Agreement billing account notification contact email.","Low","Cost","6ad5c3dd-e5ea-4ff1-81a4-7886ff87845c"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Use Billing Profiles and Invoice sections to structure your agreements billing for effective cost management.","Low","Cost","90e87802-602f-4dfb-acea-67c60689f1d7"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Make use of Microsoft Azure plan for dev/test offer to reduce costs for non-production workloads.","Low","Cost","e81a73f0-84c4-4641-b406-14db3b4d1f50"
"Azure Billing and Microsoft Entra ID Tenants","Microsoft Customer Agreement","Define and document a process to periodically audit the agreement billing RBAC role assignments to review who has access","Medium","Cost","ae757485-92a4-482a-8bc9-eefe6f5b5ec3"
"Identity and Access Management","Identity","Enforce a RBAC model that aligns to your cloud operating model. Scope and Assign across Management Groups and Subscripti","High","Security","348ef254-c27d-442e-abba-c7571559ab91"
"Identity and Access Management","Identity","Only use the authentication type Work or school account for all account types. Avoid using the Microsoft account (MSA) a","Medium","Security","12e7f983-f630-4472-8dd6-9c5b5c2622f5"
"Identity and Access Management","Identity","Enforce Microsoft Entra ID Conditional Access policies for any user with rights to Azure environments.","High","Security","53e8908a-e28c-484c-93b6-b7808b9fe5c4"
"Identity and Access Management","Identity","Enforce multi-factor authentication for any user with rights to the Azure environments.","High","Security","1049d403-a923-4c34-94d0-0018ac6a9e01"
"Identity and Access Management","Identity","Enforce centralized and delegated responsibilities to manage resources deployed inside the landing zone, based on role a","High","Security","e6a83de5-de32-4c19-a248-1607d5d1e4e6"
"Identity and Access Management","Identity","Enforce Microsoft Entra ID Privileged Identity Management (PIM) to establish zero standing access and least privilege.","Medium","Security","14658d35-58fd-4772-99b8-21112df27ee4"
"Identity and Access Management","Identity","Microsoft recommends that you use roles with the fewest permissions. Global Administrator is a highly privileged role th","Medium","Security","d98d954d-7d1c-4a07-92a7-cf3afe8dcbd2"
"Identity and Access Management","Identity","Deploy your Azure landing zone identity resources in multiple regions.  If using domain controllers, associate each regi","Medium","Reliability","e8aa1e41-870d-4968-94c6-77be14f510ac"
"Identity and Access Management","Identity","If planning to switch from Active Directory Domain Services to Entra domain services, evaluate the compatibility of all ","Medium","Security","8b9fe5c4-1049-4d40-9a92-3c3474d00018"
"Identity and Access Management","Identity","Integrate Microsoft Entra ID logs with the platform-central Azure Monitor. Azure Monitor allows for a single source of t","Medium","Security","1cf0b8da-70bd-44d0-94af-8d99cfc89ae1"
"Identity and Access Management","Identity","Implement an emergency access or break-glass accounts to prevent tenant-wide account lockout. MFA will be turned on by d","High","Security","984a859c-773e-47d2-9162-3a765a917e1f"
"Identity and Access Management","Microsoft Entra ID","When deploying Microsoft Entra Connect, use a staging sever for high availability/disaster recovery.","Medium","Reliability","cd163e39-84a5-4b39-97b7-6973abd70d94"
"Identity and Access Management","Identity","Do not use on-premises synced accounts for Microsoft Entra ID role assignments, unless you have a scenario that specific","Medium","Security","35037e68-9349-4c15-b371-228514f4cdff"
"Identity and Access Management","Identity","When using Microsoft Entra ID Application Proxy to give remote users access to applications, manage it as a Platform res","Medium","Security","d5d1e4e6-1465-48d3-958f-d77249b82111"
"Identity and Access Management","Landing zones","Use Azure RBAC to manage data plane access to resources, if possible. E.g. Data Operations across Key Vault, Storage Acc","Medium","Security","d4d1ad54-1abc-4919-b267-3f342d3b49e4"
"Identity and Access Management","Landing zones","Use Microsoft Entra ID PIM access reviews to periodically validate resource entitlements.","Medium","Security","d505ebcb-79b1-4274-9c0d-a27c8bea489c"
"Identity and Access Management","Sovereign Cloud","Identify and restrict platform administrators in line with sovereignty requirements (for example, EU‑only, UK‑only, or c","Medium","Security","1770a2ac-c194-4e5c-ade4-82939d38a510"
"Resource Organization","Naming and tagging","Use a well defined naming scheme for resources, such as Microsoft Best Practice Naming Standards.","Medium","Security","cacf55bc-e4e4-46be-96bc-57a5f23a269a"
"Resource Organization","Subscriptions","Enforce a sandbox management group to allow users to immediately experiment with Azure.","Medium","Security","667313b4-f566-44b5-b984-a859c773e7d2"
"Resource Organization","Subscriptions","Enforce a platform management group under the root management group to support common platform policy and Azure role ass","Medium","Security","61623a76-5a91-47e1-b348-ef254c27d42e"
"Resource Organization","Subscriptions","Enforce a dedicated connectivity subscription in the Connectivity management group to host an Azure Virtual WAN hub, pri","Medium","Security","8bbac757-1559-4ab9-853e-8908ae28c84c"
"Resource Organization","Subscriptions","Enforce that only privileged users can operate management groups in the tenant by enabling Azure RBAC authorization in t","Medium","Security","74d00018-ac6a-49e0-8e6a-83de5de32c19"
"Resource Organization","Subscriptions","Enforce management groups under the root-level management group to represent the types of workloads, based on their secu","Medium","Security","92481607-d5d1-4e4e-9146-58d3558fd772"
"Resource Organization","Subscriptions","Enforce a process to make resource owners aware of their roles and responsibilities, access review, budget review, polic","High","Security","49b82111-2df2-47ee-912e-7f983f630472"
"Resource Organization","Subscriptions","Ensure that all subscription owners and IT core team are aware of subscription quotas and the impact they have on provis","Medium","Security","2dd69c5b-5c26-422f-94b6-9bad33aad5e8"
"Resource Organization","Subscriptions","Use Reserved Instances where appropriate to optimize cost and ensure available capacity in target regions.","High","Security","c68e1d76-6673-413b-9f56-64b5e984a859"
"Resource Organization","Subscriptions","Establish dashboards and/or visualizations to monitor compute and storage capacity metrics. (i.e. CPU, memory, disk spac","Medium","Security","c773e7d2-6162-43a7-95a9-17e1f348ef25"
"Resource Organization","Subscriptions","As part of your cloud adoption, implement a detailed cost management plan using the 'Managed cloud costs' process.","High","Security","ae28c84c-33b6-4b78-88b9-fe5c41049d40"
"Resource Organization","Subscriptions","If servers will be used for Identity services, like domain controllers, establish a dedicated identity subscription in t","Medium","Security","3a923c34-74d0-4001-aac6-a9e01e6a83de"
"Resource Organization","Subscriptions","For Sovereign Landing Zone, have a 'confidential corp' and 'confidential online' management group directly under the 'la","Medium","Security","6cc0ea22-42bb-441e-a345-804ab0a09666"
"Resource Organization","Regions","Select the right Azure region/s for your deployment. Azure is a global-scale cloud platform that provide global coverage","High","Reliability","250d81ce-8bbe-4f85-9051-6a18a8221e50"
"Resource Organization","Regions","Deploy your Azure landing zone in a multi-region deployment. Depending on customer size, locations, and users presence, ","Medium","Reliability","19ca3f89-397d-44b1-b5b6-5e18661372ac"
"Resource Organization","Regions","Ensure required services and features are available within the chosen deployment regions.","Medium","Reliability","4c27d42e-8bba-4c75-9155-9ab9153e8908"
"Resource Organization","Sovereign Cloud","For Sovereign Landing Zone, use the management group structure for Public, Confidential Corp, and Confidential Online.","Medium","Security","914b8cb7-c2f6-40fa-ae18-81c049e0cb5a"
"Resource Organization","Sovereign Cloud","Define data classification levels used in your organization.","Medium","Security","51a1e9e9-a49a-40b2-87b9-ff753bc6de86"
"Resource Organization","Sovereign Cloud","Use tags to capture sovereign workload metadata such as data classification.","Medium","Security","a89153d8-18b2-4caf-bc19-850fc8fba00f"
"Network Topology and Connectivity","App delivery","Document a standard for securing the delivery application content from your Workload spokes using Application Gateway an","Medium","Operations","373f482f-3e39-4d39-8aa4-7e566f6082b6"
"Network Topology and Connectivity","Hub and spoke","Use a hub-and-spoke network topology for network scenarios that require maximum flexibility.","Medium","Security","e8bbac75-7155-49ab-a153-e8908ae28c84"
"Network Topology and Connectivity","Hub and spoke","Deploy your Azure landing zone connectivity resources in multiple regions, so that you can quickly support multi-region ","Medium","Reliability","7bc1c396-2461-4698-b57f-30ca69525252"
"Network Topology and Connectivity","Hub and spoke","Deploy shared networking services, including ExpressRoute gateways, VPN gateways, and Azure Firewall or partner NVAs in ","High","Cost","7dd61623-a364-4a90-9eca-e48ebd54cd7d"
"Network Topology and Connectivity","Hub and spoke","When deploying partner networking technologies or NVAs, follow the partner vendor's guidance.","Medium","Reliability","e2e8abac-3571-4559-ab91-53e89f89dc7b"
"Network Topology and Connectivity","Hub and spoke","If you need transit between ExpressRoute and VPN gateways in hub and spoke scenarios, use Azure Route Server.","Low","Security","ce463dbb-bc8a-4c2a-aebc-92a43da1dae2"
"Network Topology and Connectivity","Hub and spoke","For network architectures with multiple hub-and-spoke topologies across Azure regions, use global virtual network peerin","Medium","Performance","cc881471-607c-41cc-a0e6-14658dd558f9"
"Network Topology and Connectivity","Hub and spoke","Use Azure Monitor for Networks to monitor the end-to-end state of the networks on Azure.","Medium","Operations","4722d929-c1b1-4cd6-81f5-4b29bade39ad"
"Network Topology and Connectivity","Sovereign Cloud","Is there a requirement to encrypt traffic over the ExpressRoute?","Medium","Security","821a568d-c632-4693-ba76-e2751de35050"
"Network Topology and Connectivity","Encryption","When you're using ExpressRoute Direct, configure MACsec in order to encrypt traffic at the layer-two level between the o","Medium","Security","de0d5973-cd4c-4d21-a088-137f5e6c4cfd"
"Network Topology and Connectivity","Encryption","For scenarios where MACsec isn't an option (for example, not using ExpressRoute Direct), use a VPN gateway to establish ","Medium","Security","ed301d6e-872e-452e-9611-cc58b5a4b151"
"Network Topology and Connectivity","IP plan","Ensure no overlapping IP address spaces across Azure regions and on-premises locations are used.","High","Security","558fd772-49b8-4211-82df-27ee412e7f98"
"Network Topology and Connectivity","IP plan","Do not use overlapping IP address ranges for production and disaster recovery sites.","High","Reliability","f348ef25-4c27-4d42-b8bb-ac7571559ab9"
"Network Topology and Connectivity","IP plan","For environments where name resolution in Azure is all that's required, use Azure Private DNS for resolution with a dele","Medium","Operations","153e8908-ae28-4c84-a33b-6b7808b9fe5c"
"Network Topology and Connectivity","IP plan","For environments where name resolution across Azure and on-premises is required and there is no existing enterprise DNS ","Medium","Security","41049d40-3a92-43c3-974d-00018ac6a9e0"
"Network Topology and Connectivity","IP plan","Special workloads that require and deploy their own DNS (such as Red Hat OpenShift) should use their preferred DNS solut","Low","Operations","1e6a83de-5de3-42c1-a924-81607d5d1e4e"
"Network Topology and Connectivity","IP plan","Enable auto-registration for Azure DNS to automatically manage the lifecycle of the DNS records for the virtual machines","High","Operations","614658d3-558f-4d77-849b-821112df27ee"
"Network Topology and Connectivity","IP plan","Implement a plan for managing DNS resolution between multiple Azure regions and when services fail over to another regio","Medium","Reliability","18c80eb0-582a-4198-bf5c-d8800b2d263b"
"Network Topology and Connectivity","IP plan","Disable Windows systems from attempting to use port 65330 in Azure, Windows systems in Azure may attempt to use port 653","Low","Reliability","baac3ecb-a94c-4ac4-8c79-cdf27c0d78df"
"Network Topology and Connectivity","Internet","Use Azure Bastion to securely connect to your network.","Medium","Security","ee1ac551-c4d5-46cf-b035-d0a3c50d87ad"
"Network Topology and Connectivity","Internet","Use Azure Front Door and WAF policies to provide global protection across Azure regions for inbound HTTP/S connections t","Medium","Security","1d7aa9b6-4704-4489-a804-2d88e79d17b7"
"Network Topology and Connectivity","Internet","When using Azure Front Door and Azure Application Gateway to help protect HTTP/S apps, use WAF policies in Azure Front D","Low","Security","3b22a5a6-7e7a-48ed-9b30-e38c3f29812b"
"Network Topology and Connectivity","Internet","When WAFs and other reverse proxies are required for inbound HTTP/S connections, deploy them within a landing-zone virtu","High","Security","2363cefe-179b-4599-be0d-5973cd4cd21b"
"Network Topology and Connectivity","Internet","Use Azure DDoS Network or IP Protection plans to help protect Public IP Addresses endpoints within the virtual networks ","High","Security","088137f5-e6c4-4cfd-9e50-4547c2447ec6"
"Network Topology and Connectivity","Internet","Plan for how to manage your network outbound traffic configuration and strategy before the upcoming breaking change. On ","High","Reliability","b034c01e-110b-463a-b36e-e3346e57f225"
"Network Topology and Connectivity","Internet","Add diagnostic settings to save DDoS related logs for all the protected public IP addresses (DDoS IP or Network Protecti","High","Security","b1c82a3f-2320-4dfa-8972-7ae4823c8930"
"Network Topology and Connectivity","Internet","Ensure there is a policy assignment to deny Public IP addresses directly tied to Virtual Machines.  Use exclusions if pu","High","Security","3c5a808d-c695-4c14-a63c-c7ab7a510e41"
"Network Topology and Connectivity","Hybrid","Use ExpressRoute as the primary connection to Azure.  Use VPNs as a source of backup connectivity.","Medium","Performance","359c373e-7dd6-4162-9a36-4a907ecae48e"
"Network Topology and Connectivity","Hybrid","When you use multiple ExpressRoute circuits or multiple on-prem locations, use BGP attributes to optimize routing.","Medium","Reliability","f29812b2-363c-4efe-879b-599de0d5973c"
"Network Topology and Connectivity","Hybrid","For scenarios that require bandwidth higher than 10 Gbps or dedicated 10/100-Gbps ports, use ExpressRoute Direct.","Medium","Performance","72e52e36-11cc-458b-9a4b-1511e43a58a9"
"Network Topology and Connectivity","Hybrid","When low latency is required, or throughput from on-premises to Azure must be greater than 10 Gbps, enable FastPath to b","Medium","Performance","c2299c4d-7b57-4d0c-9555-62f2b3e4563a"
"Network Topology and Connectivity","Hybrid","Use redundant VPN appliances on-premises (active/active or active/passive).","Medium","Reliability","45866df8-cf85-4ca9-bbe2-65ec1478919e"
"Network Topology and Connectivity","Hybrid","If using ExpressRoute Direct, consider using ExpressRoute Local circuits to the local Azure regions to save costs.","High","Cost","718cb437-b060-2589-8856-2e93a5c6633b"
"Network Topology and Connectivity","Hybrid","When traffic isolation or dedicated bandwidth is required, such as for separating production and nonproduction environme","Medium","Security","8042d88e-79d1-47b7-9b22-a5a67e7a8ed4"
"Network Topology and Connectivity","Hybrid","Monitor ExpressRoute availability and utilization using built-in Express Route Insights.","Medium","Operations","b30e38c3-f298-412b-8363-cefe179b599d"
"Network Topology and Connectivity","Hybrid","Use Connection Monitor for connectivity monitoring across the network, especially between on-premises and Azure.","Medium","Operations","5bf68dc9-325e-4873-bf88-f8214ef2e5d2"
"Network Topology and Connectivity","Hybrid","Use site-to-site VPN as failover of ExpressRoute, if only using a single ExpressRoute circuit.","Medium","Reliability","cf3fe65c-fec0-495a-8edc-9675200f2add"
"Network Topology and Connectivity","Hybrid","If using ExpressRoute, your on-premises routing should be dynamic: in the event of a connection failure it should conver","High","Reliability","d581a947-69a2-4783-942e-9df3664324c8"
"Network Topology and Connectivity","Hybrid","Ensure the two physical links of your ExpressRoute circuit are connected to two distinct edge devices in your network.","Medium","Reliability","b258f058-b9f6-46cd-b28d-990106f0c3f8"
"Network Topology and Connectivity","Hybrid","Ensure Bidirectional Forwarding Detection (BFD) is enabled and configured on customer or provider edge routing devices.","Medium","Reliability","fe2a1b53-6fbd-4c67-b58a-85d7c7a0afcb"
"Network Topology and Connectivity","Hybrid","Connect the ExpressRoute Gateway to two or more circuits from different peering locations for higher resiliency.","High","Reliability","669b215a-ce43-4371-8f6f-11047f6490f1"
"Network Topology and Connectivity","Hybrid","Configure diagnostic logs and alerts for ExpressRoute virtual network gateway.","Medium","Operations","3f79ed00-203b-4c95-9efd-691505f5a1f9"
"Network Topology and Connectivity","Hybrid","Do not use ExpressRoute circuits for VNet-to-VNet communication.","Medium","Performance","5234c93f-b651-41dd-80c1-234177b91ced"
"Network Topology and Connectivity","Hybrid","Do not send Azure traffic to hybrid locations for inspection.  Instead, follow the principle 'traffic in Azure stays in ","Low","Performance","8ac6a9e0-1e6a-483d-b5de-32c199248160"
"Network Topology and Connectivity","Sovereign Cloud","Do any interconnects (ExpressRoute, MPLS etc) traverse borders or different countries?","Medium","Security","4cc8ca4e-a503-4bac-9b1e-82283a711043"
"Network Topology and Connectivity","Sovereign Cloud","Ensure VNet peering's do not enable traffic to leave approved regions.","Medium","Security","8b517d94-c9d0-42c4-9803-d93ed0a46bc0"
